Year,Month,LME_Copper_Cash_USD_ton,LME_Copper_3Month_USD_ton,LME_Inventory_tons,COMEX_HG_USD_lb,USD_CNY,Iron_Ore_USD_ton,Aluminum_USD_ton,Nickel_USD_ton,S_P500_Level,Shanghai_Composite_Level,Key_Event
2025,1,8991.41,9052.00,256225,4.00-4.30,7.25-7.30,130-140,2500-2600,15000-16000,5800,3400,Inicio año-Fed expectativas
2025,2,9330.60,9393.73,225000,4.20-4.40,7.22-7.28,125-135,2550-2650,15500-16500,5900,3450,PMI China contracción 6to mes
2025,3,9739.68,9762.50,195500,4.40-4.50,7.20-7.25,120-130,2600-2700,16000-17000,6000,3500,Tensiones US-China aranceles
2025,4,9176.80,9219.40,165000,4.30-4.45,7.20-7.25,115-120,2650-2750,16500-17500,5950,3450,Reducción aranceles 125%->10%
2025,5,9529.78,9504.50,142000,4.40-4.50,7.23-7.28,110-118,2700-2800,16800-17800,6050,3550,Choques oferta minas Congo/Zambia
2025,6,9833.00,9800.00,128000,4.45-4.55,7.25-7.30,105-112,2750-2850,17000-18000,6100,3580,Demanda IA/energía verde
2025,7,9770.58,9787.11,109625,4.45-4.60,7.27-7.30,102-108,2780-2880,16500-17500,6150,3600,"ANUNCIO: Arancel cobre 50% US"
2025,8,9669.56,9729.85,115000,4.50-4.65,7.26-7.29,100-105,2800-2900,16200-17200,6200,3620,China redirect 120kt a US
2025,9,9983.79,10023.20,135000,4.55-4.70,7.18-7.22,98-103,2850-2950,16000-17000,6250,3650,Mejora PMI China 50.1
2025,10,10739.91,10720.41,150000,4.85-5.00,7.10-7.15,95-100,2900-3000,15800-16800,6300,3680,Dólar cae 8% en 2025
2025,11,10825.57,10800.00,165000,5.00-5.25,7.05-7.10,92-98,2950-3050,15500-16500,6350,3700,Rally histórico continúa
2025,12,11850.00,11935.00,157750,5.30-5.50,7.00-7.02,90-96,3000-3100,15200-16200,6205,3500,Récord LME 11,252
2026,1,12500-13000,12965.50,171700,5.77-6.11,6.95-6.98,100-110,3008-3195,16646-18756,6300,3550,"RÉCORD ABSOLUTO: $13,387.50"